proto,port,open,hint,banner,details,error,tls_subject,tls_issuer,rdns,fingerprint
tcp,308,False,,,{},,,,DESKTOP-G804P63,
tcp,309,False,,,{},,,,DESKTOP-G804P63,
tcp,310,False,,,{},,,,DESKTOP-G804P63,
tcp,311,False,,,{},,,,DESKTOP-G804P63,
tcp,312,False,,,{},,,,DESKTOP-G804P63,
tcp,313,False,,,{},,,,DESKTOP-G804P63,
tcp,314,False,,,{},,,,DESKTOP-G804P63,
tcp,315,False,,,{},,,,DESKTOP-G804P63,
tcp,316,False,,,{},,,,DESKTOP-G804P63,
tcp,317,False,,,{},,,,DESKTOP-G804P63,
tcp,318,False,,,{},,,,DESKTOP-G804P63,
tcp,319,False,,,{},,,,DESKTOP-G804P63,
tcp,320,False,,,{},,,,DESKTOP-G804P63,
tcp,321,False,,,{},,,,DESKTOP-G804P63,
tcp,322,False,rtsps,,{},,,,DESKTOP-G804P63,
tcp,323,False,,,{},,,,DESKTOP-G804P63,
tcp,324,False,,,{},,,,DESKTOP-G804P63,
tcp,325,False,,,{},,,,DESKTOP-G804P63,
tcp,326,False,,,{},,,,DESKTOP-G804P63,
tcp,327,False,,,{},,,,DESKTOP-G804P63,
tcp,328,False,,,{},,,,DESKTOP-G804P63,
tcp,329,False,,,{},,,,DESKTOP-G804P63,
tcp,330,False,,,{},,,,DESKTOP-G804P63,
tcp,331,False,,,{},,,,DESKTOP-G804P63,
tcp,332,False,,,{},,,,DESKTOP-G804P63,
tcp,333,False,,,{},,,,DESKTOP-G804P63,
tcp,334,False,,,{},,,,DESKTOP-G804P63,
tcp,335,False,,,{},,,,DESKTOP-G804P63,
tcp,336,False,,,{},,,,DESKTOP-G804P63,
tcp,337,False,,,{},,,,DESKTOP-G804P63,
tcp,338,False,,,{},,,,DESKTOP-G804P63,
tcp,339,False,,,{},,,,DESKTOP-G804P63,
tcp,340,False,,,{},,,,DESKTOP-G804P63,
tcp,341,False,,,{},,,,DESKTOP-G804P63,
tcp,342,False,,,{},,,,DESKTOP-G804P63,
tcp,343,False,,,{},,,,DESKTOP-G804P63,
tcp,344,False,,,{},,,,DESKTOP-G804P63,
tcp,345,False,,,{},,,,DESKTOP-G804P63,
tcp,346,False,,,{},,,,DESKTOP-G804P63,
tcp,347,False,,,{},,,,DESKTOP-G804P63,
tcp,348,False,,,{},,,,DESKTOP-G804P63,
tcp,349,False,mftp,,{},,,,DESKTOP-G804P63,
tcp,350,False,,,{},,,,DESKTOP-G804P63,
tcp,351,False,,,{},,,,DESKTOP-G804P63,
tcp,352,False,,,{},,,,DESKTOP-G804P63,
tcp,353,False,,,{},,,,DESKTOP-G804P63,
tcp,354,False,,,{},,,,DESKTOP-G804P63,
tcp,355,False,,,{},,,,DESKTOP-G804P63,
tcp,356,False,,,{},,,,DESKTOP-G804P63,
tcp,357,False,,,{},,,,DESKTOP-G804P63,
tcp,358,False,,,{},,,,DESKTOP-G804P63,
tcp,359,False,,,{},,,,DESKTOP-G804P63,
tcp,360,False,,,{},,,,DESKTOP-G804P63,
tcp,361,False,,,{},,,,DESKTOP-G804P63,
tcp,362,False,,,{},,,,DESKTOP-G804P63,
tcp,363,False,,,{},,,,DESKTOP-G804P63,
tcp,364,False,,,{},,,,DESKTOP-G804P63,
tcp,365,False,,,{},,,,DESKTOP-G804P63,
tcp,366,False,,,{},,,,DESKTOP-G804P63,
tcp,367,False,,,{},,,,DESKTOP-G804P63,
tcp,368,False,,,{},,,,DESKTOP-G804P63,
tcp,369,False,,,{},,,,DESKTOP-G804P63,
tcp,370,False,,,{},,,,DESKTOP-G804P63,
tcp,371,False,,,{},,,,DESKTOP-G804P63,
tcp,372,False,,,{},,,,DESKTOP-G804P63,
tcp,373,False,,,{},,,,DESKTOP-G804P63,
tcp,374,False,,,{},,,,DESKTOP-G804P63,
tcp,375,False,,,{},,,,DESKTOP-G804P63,
tcp,376,False,,,{},,,,DESKTOP-G804P63,
tcp,377,False,,,{},,,,DESKTOP-G804P63,
tcp,378,False,,,{},,,,DESKTOP-G804P63,
tcp,379,False,,,{},,,,DESKTOP-G804P63,
tcp,380,False,,,{},,,,DESKTOP-G804P63,
tcp,381,False,,,{},,,,DESKTOP-G804P63,
tcp,382,False,,,{},,,,DESKTOP-G804P63,
tcp,383,False,,,{},,,,DESKTOP-G804P63,
tcp,384,False,,,{},,,,DESKTOP-G804P63,
tcp,385,False,,,{},,,,DESKTOP-G804P63,
tcp,386,False,,,{},,,,DESKTOP-G804P63,
tcp,387,False,,,{},,,,DESKTOP-G804P63,
tcp,388,False,,,{},,,,DESKTOP-G804P63,
tcp,389,False,LDAP,,{},,,,DESKTOP-G804P63,
tcp,390,False,,,{},,,,DESKTOP-G804P63,
tcp,391,False,,,{},,,,DESKTOP-G804P63,
tcp,392,False,,,{},,,,DESKTOP-G804P63,
tcp,393,False,,,{},,,,DESKTOP-G804P63,
tcp,394,False,,,{},,,,DESKTOP-G804P63,
tcp,395,False,,,{},,,,DESKTOP-G804P63,
tcp,396,False,,,{},,,,DESKTOP-G804P63,
tcp,397,False,,,{},,,,DESKTOP-G804P63,
tcp,398,False,,,{},,,,DESKTOP-G804P63,
tcp,399,False,,,{},,,,DESKTOP-G804P63,
tcp,400,False,,,{},,,,DESKTOP-G804P63,
tcp,401,False,,,{},,,,DESKTOP-G804P63,
tcp,402,False,,,{},,,,DESKTOP-G804P63,
tcp,403,False,,,{},,,,DESKTOP-G804P63,
tcp,404,False,,,{},,,,DESKTOP-G804P63,
tcp,405,False,,,{},,,,DESKTOP-G804P63,
tcp,406,False,,,{},,,,DESKTOP-G804P63,
tcp,407,False,,,{},,,,DESKTOP-G804P63,
tcp,408,False,,,{},,,,DESKTOP-G804P63,
tcp,409,False,,,{},,,,DESKTOP-G804P63,
tcp,410,False,,,{},,,,DESKTOP-G804P63,
tcp,411,False,,,{},,,,DESKTOP-G804P63,
tcp,412,False,,,{},,,,DESKTOP-G804P63,
tcp,413,False,,,{},,,,DESKTOP-G804P63,
tcp,414,False,,,{},,,,DESKTOP-G804P63,
tcp,415,False,,,{},,,,DESKTOP-G804P63,
tcp,416,False,,,{},,,,DESKTOP-G804P63,
tcp,417,False,,,{},,,,DESKTOP-G804P63,
tcp,418,False,,,{},,,,DESKTOP-G804P63,
tcp,419,False,,,{},,,,DESKTOP-G804P63,
tcp,420,False,,,{},,,,DESKTOP-G804P63,
tcp,421,False,,,{},,,,DESKTOP-G804P63,
tcp,422,False,,,{},,,,DESKTOP-G804P63,
tcp,423,False,,,{},,,,DESKTOP-G804P63,
tcp,424,False,,,{},,,,DESKTOP-G804P63,
tcp,425,False,,,{},,,,DESKTOP-G804P63,
tcp,426,False,,,{},,,,DESKTOP-G804P63,
tcp,427,False,,,{},,,,DESKTOP-G804P63,
tcp,428,False,,,{},,,,DESKTOP-G804P63,
tcp,429,False,,,{},,,,DESKTOP-G804P63,
tcp,430,False,,,{},,,,DESKTOP-G804P63,
tcp,431,False,,,{},,,,DESKTOP-G804P63,
tcp,432,False,,,{},,,,DESKTOP-G804P63,
tcp,433,False,,,{},,,,DESKTOP-G804P63,
tcp,434,False,,,{},,,,DESKTOP-G804P63,
tcp,435,False,,,{},,,,DESKTOP-G804P63,
tcp,436,False,,,{},,,,DESKTOP-G804P63,
tcp,437,False,,,{},,,,DESKTOP-G804P63,
tcp,438,False,,,{},,,,DESKTOP-G804P63,
tcp,439,False,,,{},,,,DESKTOP-G804P63,
tcp,440,False,,,{},,,,DESKTOP-G804P63,
tcp,441,False,,,{},,,,DESKTOP-G804P63,
tcp,442,False,,,{},,,,DESKTOP-G804P63,
tcp,443,False,HTTPS,,{},,,,DESKTOP-G804P63,
tcp,444,False,,,{},,,,DESKTOP-G804P63,
tcp,445,True,microsoft-ds,,{},,,,DESKTOP-G804P63,
tcp,446,False,,,{},,,,DESKTOP-G804P63,
tcp,447,False,,,{},,,,DESKTOP-G804P63,
tcp,448,False,,,{},,,,DESKTOP-G804P63,
tcp,449,False,,,{},,,,DESKTOP-G804P63,
tcp,450,False,,,{},,,,DESKTOP-G804P63,
tcp,451,False,,,{},,,,DESKTOP-G804P63,
tcp,452,False,,,{},,,,DESKTOP-G804P63,
tcp,453,False,,,{},,,,DESKTOP-G804P63,
tcp,454,False,,,{},,,,DESKTOP-G804P63,
tcp,455,False,,,{},,,,DESKTOP-G804P63,
tcp,456,False,,,{},,,,DESKTOP-G804P63,
tcp,457,False,,,{},,,,DESKTOP-G804P63,
tcp,458,False,,,{},,,,DESKTOP-G804P63,
tcp,459,False,,,{},,,,DESKTOP-G804P63,
tcp,460,False,,,{},,,,DESKTOP-G804P63,
tcp,461,False,,,{},,,,DESKTOP-G804P63,
tcp,462,False,,,{},,,,DESKTOP-G804P63,
tcp,463,False,,,{},,,,DESKTOP-G804P63,
tcp,464,False,kpasswd,,{},,,,DESKTOP-G804P63,
tcp,465,False,,,{},,,,DESKTOP-G804P63,
tcp,466,False,,,{},,,,DESKTOP-G804P63,
tcp,467,False,,,{},,,,DESKTOP-G804P63,
tcp,468,False,,,{},,,,DESKTOP-G804P63,
tcp,469,False,,,{},,,,DESKTOP-G804P63,
tcp,470,False,,,{},,,,DESKTOP-G804P63,
tcp,471,False,,,{},,,,DESKTOP-G804P63,
tcp,472,False,,,{},,,,DESKTOP-G804P63,
tcp,473,False,,,{},,,,DESKTOP-G804P63,
tcp,474,False,,,{},,,,DESKTOP-G804P63,
tcp,475,False,,,{},,,,DESKTOP-G804P63,
